    17.5500   -2.665405E-05  2.345963E-04  7.237049E+01
    17.6000   -7.121741E-05  2.449863E-04  7.255159E+01
    17.6500   -1.233701E-04  2.563457E-04  7.275873E+01
    17.7000   -1.780869E-04  2.668435E-04  7.298732E+01
    17.7500   -2.279354E-04  2.752437E-04  7.323238E+01
    17.8000   -2.649134E-04  2.807934E-04  7.348951E+01
    17.8500   -2.823666E-04  2.831068E-04  7.375510E+01
    17.9000   -2.765166E-04  2.820737E-04  7.402625E+01
    17.9500   -2.472653E-04  2.777904E-04  7.430063E+01
    18.0000   -1.981425E-04  2.705086E-04  7.457626E+01
    18.0500   -1.381440E-04  2.663627E-04  7.485297E+01
    18.1000   -6.929081E-05  2.599434E-04  7.512840E+01
    18.1500    7.457493E-07  2.515940E-04  7.540119E+01
    18.2000    6.490698E-05  2.417140E-04  7.567009E+01
    18.2500    1.177884E-04  2.307418E-04  7.593396E+01
    18.3000    1.562187E-04  2.191368E-04  7.619182E+01
    18.3500    1.793162E-04  2.073579E-04  7.644291E+01
    18.4000    1.880932E-04  1.958401E-04  7.668681E+01
    18.4500    1.847754E-04  1.849660E-04  7.692361E+01
    18.5000    1.720495E-04  1.750361E-04  7.715402E+01
    18.5500    1.524378E-04  1.662406E-04  7.737939E+01
    18.6000    1.279330E-04  1.586394E-04  7.760171E+01
    18.6500    9.993633E-05  1.521592E-04  7.782326E+01
    18.7000    6.944751E-05  1.466089E-04  7.804634E+01
    18.7500    3.738734E-05  1.417148E-04  7.827284E+01
    18.8000    4.907777E-06  1.371643E-04  7.850403E+01
    18.8500   -2.643730E-05  1.326502E-04  7.874046E+01
    18.9000   -5.473102E-05  1.279062E-04  7.898198E+01
    18.9500   -7.793849E-05  1.227307E-04  7.922787E+01
    19.0000   -9.428500E-05  1.169986E-04  7.947695E+01
    19.0500   -1.050300E-04  1.131701E-04  7.972902E+01
    19.1000   -1.077761E-04  1.086789E-04  7.998163E+01
    19.1500   -1.027729E-04  1.035455E-04  8.023285E+01
    19.2000   -9.123612E-05  9.785207E-05  8.048044E+01
    19.2500   -7.512959E-05  9.174141E-05  8.072187E+01
    19.3000   -5.677851E-05  8.541532E-05  8.095427E+01
    19.3500   -3.840861E-05  7.913268E-05  8.117462E+01
    19.4000   -2.172471E-05  7.320347E-05  8.138010E+01
    19.4500   -7.633865E-06  6.797242E-05  8.156886E+01
    19.5000    3.819367E-06  6.378253E-05  8.174133E+01
    19.5500    1.329380E-05  6.091152E-05  8.190143E+01
    19.6000    2.181548E-05  5.949258E-05  8.205686E+01
    19.6500    3.035814E-05  5.945850E-05  8.221726E+01
    19.7000    3.945527E-05  6.055069E-05  8.239111E+01
    19.7500    4.895046E-05  6.239153E-05  8.258341E+01
    19.8000    5.795537E-05  6.457422E-05  8.279548E+01
    19.8500    6.502955E-05  6.672848E-05  8.302607E+01
    19.9000    6.853730E-05  6.855170E-05  8.327271E+01
    19.9500    6.708912E-05  6.981580E-05  8.353261E+01
    20.0000    5.995217E-05  7.036254E-05  8.380312E+01
