natx =      980
    x       y        z       iph  
     -1.41797      9.82400     -1.67397   2     10.47524
     -1.41797      9.82400      5.02202   2     10.47525
      4.96294     -8.59600     -1.67397   2     10.47525
      4.96294     -8.59600      5.02202   2     10.47526
      4.25394     -9.82400      1.67402   1     10.70546
     -4.25394      9.82400      1.67402   1     10.70546
     -6.38091      8.59600      1.67402   1     10.70548
      6.38091     -8.59600      1.67402   1     10.70548
      0.70900     -3.68400     -8.36995   2     10.72175
     -3.54494     -1.22800     -8.36995   2     10.72175
      0.70900      3.68400     -8.36995   2     10.72175
     -3.54494      1.22800     -8.36995   2     10.72175
      2.83597     -2.45600     -8.36995   2     10.72175
      2.83597      2.45600     -8.36995   2     10.72176
      0.70900     -3.68400     11.71801   2     10.72177
     -3.54494     -1.22800     11.71801   2     10.72177
      0.70900      3.68400     11.71801   2     10.72177
     -3.54494      1.22800     11.71801   2     10.72178
      2.83597     -2.45600     11.71801   2     10.72178
      2.83597      2.45600     11.71801   2     10.72178
      7.08991     -7.36800     -1.67397   2     10.75933
      7.08991     -7.36800      5.02202   2     10.75934
     -4.25394      7.36800      8.37001   1     10.82680
      4.25394     -7.36800     -5.02197   1     10.82680
      4.25394     -7.36800      8.37001   1     10.82680
     -4.25394      7.36800     -5.02197   1     10.82680
      2.12697     -3.68400     -8.36995   1     10.90767
     -2.12697      3.68400     -8.36995   1     10.90767
      2.12697      3.68400     -8.36995   1     10.90767
     -2.12697     -3.68400     -8.36995   1     10.90767
     -4.25394      0.00000     -8.36995   1     10.90767
      4.25394      0.00000     -8.36995   1     10.90767
     -2.12697     -3.68400     11.71801   1     10.90769
      2.12697     -3.68400     11.71801   1     10.90769
      2.12697      3.68400     11.71801   1     10.90769
     -2.12697      3.68400     11.71801   1     10.90769
      4.25394      0.00000     11.71801   1     10.90770
     -4.25394      0.00000     11.71801   1     10.90770
     -0.70899      8.59600      8.37001   2     10.91926
     -0.70899      8.59600     -5.02197   2     10.91926
      7.79889     -3.68400     -5.02197   2     10.91928
      7.79889     -3.68400      8.37001   2     10.91928
      7.79889      3.68400     -5.02197   2     10.91928
      7.79889      3.68400      8.37001   2     10.91928
     -2.12697      8.59600     -5.02197   1     11.10187
      2.12697     -8.59600     -5.02197   1     11.10187
      2.12697     -8.59600      8.37001   1     11.10187
     -2.12697      8.59600      8.37001   1     11.10187
     -6.38091      6.14000      8.37001   1     11.10189
     -6.38091      6.14000     -5.02197   1     11.10189
      6.38091     -6.14000     -5.02197   1     11.10189
      6.38091     -6.14000      8.37001   1     11.10189
      0.00000     -4.91200     -8.36995   1     11.18075
      0.00000      4.91200     -8.36995   1     11.18075
      4.25394     -2.45600     -8.36995   1     11.18075
      4.25394      2.45600     -8.36995   1     11.18075
     -4.25394     -2.45600     -8.36995   1     11.18075
     -4.25394      2.45600     -8.36995   1     11.18075
      0.00000      4.91200     11.71801   1     11.18077
      0.00000     -4.91200     11.71801   1     11.18077
     -4.25394      2.45600     11.71801   1     11.18078
      4.25394     -2.45600     11.71801   1     11.18078
      4.25394      2.45600     11.71801   1     11.18078
     -4.25394     -2.45600     11.71801   1     11.18078
      4.25394     -9.82400     -1.67397   1     11.21677
     -4.25394      9.82400     -1.67397   1     11.21677
      4.25394     -9.82400      5.02202   1     11.21678
     -4.25394      9.82400      5.02202   1     11.21678
      6.38091     -8.59600     -1.67397   1     11.21678
     -6.38091      8.59600     -1.67397   1     11.21678
     -6.38091      8.59600      5.02202   1     11.21679
      6.38091     -8.59600      5.02202   1     11.21679
     -1.41797     -4.91200     -8.36995   2     11.27030
     -3.54494     -3.68400     -8.36995   2     11.27030
     -1.41797      4.91200     -8.36995   2     11.27030
     -3.54494      3.68400     -8.36995   2     11.27031
      4.96294     -1.22800     -8.36995   2     11.27032
      4.96294      1.22800     -8.36995   2     11.27032
     -1.41797     -4.91200     11.71801   2     11.27032
     -3.54494     -3.68400     11.71801   2     11.27033
     -1.41797      4.91200     11.71801   2     11.27033
     -3.54494      3.68400     11.71801   2     11.27033
      4.96294     -1.22800     11.71801   2     11.27034
      4.96294      1.22800     11.71801   2     11.27034
      5.67192     -9.82400      1.67402   2     11.34379
      3.54495     -8.59600     -5.02197   2     11.45837
      3.54495     -8.59600      8.37001   2     11.45837
      5.67192     -7.36800     -5.02197   2     11.45837
      5.67192     -7.36800      8.37001   2     11.45837
      2.83597     -4.91200     -8.36995   2     11.53481
      2.83597      4.91200     -8.36995   2     11.53481
     -5.67191      0.00000     -8.36995   2     11.53481
      2.83597     -4.91200     11.71801   2     11.53483
      2.83597      4.91200     11.71801   2     11.53483
     -5.67191      0.00000     11.71801   2     11.53484
      7.79889     -8.59600      1.67402   2     11.60663
      0.70900     -6.14000     -8.36995   2     11.79337
      0.70900      6.14000     -8.36995   2     11.79337
     -5.67191     -2.45600     -8.36995   2     11.79338
     -5.67191      2.45600     -8.36995   2     11.79338
      4.96294     -3.68400     -8.36995   2     11.79339
      4.96294      3.68400     -8.36995   2     11.79339
      0.70900     -6.14000     11.71801   2     11.79339
      0.70900      6.14000     11.71801   2     11.79340
     -5.67191     -2.45600     11.71801   2     11.79340
     -5.67191      2.45600     11.71801   2     11.79340
      4.96294     -3.68400     11.71801   2     11.79341
      4.96294      3.68400     11.71801   2     11.79341
     -5.67191      9.82400     -1.67397   2     11.82754
     -5.67191      9.82400      5.02202   2     11.82754
      2.12697     -6.14000     -8.36995   1     11.96265
     -2.12697     -6.14000     -8.36995   1     11.96265
     -2.12697      6.14000     -8.36995   1     11.96265
      2.12697      6.14000     -8.36995   1     11.96265
     -4.25394      4.91200     -8.36995   1     11.96265
     -4.25394     -4.91200     -8.36995   1     11.96265
      4.25394     -4.91200     -8.36995   1     11.96265
      4.25394      4.91200     -8.36995   1     11.96265
     -6.38091      1.22800     -8.36995   1     11.96266
      6.38091     -1.22800     -8.36995   1     11.96266
     -6.38091     -1.22800     -8.36995   1     11.96266
      6.38091      1.22800     -8.36995   1     11.96266
      2.12697     -6.14000     11.71801   1     11.96267
     -2.12697      6.14000     11.71801   1     11.96267
      2.12697      6.14000     11.71801   1     11.96267
     -2.12697     -6.14000     11.71801   1     11.96267
     -4.25394      4.91200     11.71801   1     11.96268
      4.25394     -4.91200     11.71801   1     11.96268
     -4.25394     -4.91200     11.71801   1     11.96268
      4.25394      4.91200     11.71801   1     11.96268
     -6.38091      1.22800     11.71801   1     11.96269
     -6.38091     -1.22800     11.71801   1     11.96269
      6.38091     -1.22800     11.71801   1     11.96269
      6.38091      1.22800     11.71801   1     11.96269
     -4.96293      8.59600     -5.02197   2     11.97323
     -4.96293      8.59600      8.37001   2     11.97323
      7.79889     -6.14000     -5.02197   2     11.97324
      7.79889     -6.14000      8.37001   2     11.97324
     -3.54494     11.05200     -1.67397   2     12.07983
     -3.54494     11.05200      5.02202   2     12.07984
     -4.96293     11.05200      1.67402   2     12.11517
